chunk_id,document_id,source_file,page_number,text
amendment_iv_p1,amendment_iv,AMENDMENT IV.pdf,1,"AMENDMENT NO. 4 TO BIS LABORATORY RECOGNITION SCHEME 2020

(Page 3, clause 4.1.2, para 1) ― Substitute the amended para for the existing para, as mentioned below:

 Amended Para

Scope for recognition – Recognition under BIS LRS shall be considered for Indian Standards for products.

In case any Ministry /Government Department notifies any essential requirements or technical regulations or technical rules or any such documents which are covered/ proposed to be covered under the conformity assessment schemes of BIS, then recognition under BIS LRS shall be considered for such essential requirements or technical regulations or technical rules or any such documents.

NOTE – ‘Standard(s)’ or ‘Indian Standard(s)’ or ‘Indian Standard(s) /product(s)’ mentioned anywhere in the ‘Laboratory Recognition Scheme 2020’ document and subsequent amendments, refers to the applicable ‘Indian Standard(s) or essential requirement or technical regulations or technical rules or any such documents."
bis_hallmarking_regulations_2018_incorp_amdt_1_p1,bis_hallmarking_regulations_2018_incorp_amdt_1,BIS-Hallmarking-Regulations-2018-Incorp.-Amdt-1.pdf,1,"भारतीय मानक ब्यूर( ॉलमामाकिंक) व नियनयम, 2018 [ भारत का राजपत्र असाधारण भा 3, खंड 4 में प्रकाशित ] भारत सरकार उपभ(क्ता मामा, खाद्य और सािवजयनक नितरण मंत्रााय, उपभ(क्ता मामा निभा ( भारतीय मानक ब्यूर( व अधधसूचना 14 जून, 2018

 फा. सं. बीएस/11/05/2018 - भारतीय मानक ब्यूरअ िनियनयम, 2016 (2016 का 11) की िारा 13 और िारा 14 के साथ पठित िारा 39 में प्रदत्त शक्ततयों का प्रयअग करते हुए भारतीय मानक ब्यरू अ की कायाकाणर ी सतमयत, केन्‍दरीय सरकार के पूनुाानुमअदन से यन नतखितत िनुयनयम बनाती है , िथाात ् : 1. संक्षिप्त नाम और प्रारं भ (1) इन िनुयनयमों का संक्षिप्त नाम भारतीय मानक ब्यूरअ (हमखमाकिंक)ग) िनुयनयम, 2018 है। (2) ये राजपत्र में इनके प्रकाशन की तारीत कअ प्रनुत्त ृ होंगे ।

2. पणरभाषा – (1) इन िनुयनयमों में जब तक किंक संदभा से िन्‍दयथा िपेक्षित न हअ – (क) ‘’िनियनयम’’ से मानक ब्यरू अ िनियनयम2 2016 ितभप्रेत है।

 (त) ‘’कैरे ट’’ से प्रयत चौबीस भागों में व्यतत सअने के िंश की मात्रा और कुख मात्रा के बीच के िनुपात ितभप्रेत है ।

 (ग) “पणरशद् ु िता"" से प्रयत हजार भाग में व्यतत बहुम् ू य िातु िंश की मात्रा और कुख मात्रा के बीच के िनप ु ात ितभप्रेत है ।

 # (घ) “यनयम” से भारतीय मानक ब्यूरअ यनयम2 2018 ितभप्रेत है ।

 (ड.) ‘’िनुसूची’’ से इन िनुयनयमों से संखग्न िनुसूची ितभप्रेत है ।

(2) उन शब्दों और पदों के2 जअ इसमें प्रयुतत हं और पणरभािषत नहीं हं, किंकन्‍दतु इस िनियनयम में पणरभािषत हं, नुहीं िथा होंगे, जअ उनका िनियनयम में है ।

 1"
bis_hallmarking_regulations_2018_incorp_amdt_1_p2,bis_hallmarking_regulations_2018_incorp_amdt_1,BIS-Hallmarking-Regulations-2018-Incorp.-Amdt-1.pdf,2,"अध्याय 1

 रजजस्ट्रीकरण प्रमाण-पत्र का दिया जाना, प्रचाान, निीकरण और रद्िकरण

3. रजजस्ट्रीकरण प्रमाण- पत्र क शाए आििन: - (1) एक आभूष िनुक्रेता िनियनयम के िारा 14 की उप-िारा (1) के िंतगात िनिसूनचत बहुमू्य िातु की नुस्तुओं की बबक्री के तखए रक्जस्रीकर प्रमाण- पत्र की मंजर ू ी के तखए आनुेदन करे गा।

(2) उप-िनुयनयम (1) के ििीन आनुेदन, इन िनुयनयमों से संखग्न, प्ररूप 1 में , िनुसूची- I में िनुयनठदा ष्ट फीस के साथ ब्यूरअ कअ किंकया जाएगा।

(3) आनुेदन प्ररूप, आनुेदक या इस संबंि में प्रानिकृत किंकसी िन्‍दय व्यक्तत द्नुारा हस्तािणरत किंकया जाएगा।

(4) आनुेदन के साथ यन नतखितत दस्तानुेजों की स्नु-प्रमाि त प्रयततखिप भी संखग्न हअगी, िथाात(क) फमा या कंपनी की स्थापना का प्रमा ; (त) पणरसर के पते का प्रमा ; (ग) हस्तािरकताा की पहचान का प्रमा ; (घ) यनकटतम भूतम नचह्न से पणरसर का स्थान दशााने नुाखा माननचत्र; और (ड.) नुािषाक आनुता के संबंि में प्रमा ।

(5) यठद आनुेदन िपेक्षित फीस के साथ नहीं किंकया जाता है तअ आनुेदन िस्नुीकार कर ठदया जाएगा।

(6) आनुेदन प्राक्प्त पर स्नुीकार किंकया जाएगा।

(7) यठद उप-िनुयनयम (4) के ििीन प्रस्तुत दस्तानुेज क्रम में नहीं हं, तअ ब्यरू अ आनुश्यक दस्तानुेज या कअई िनुपूरक जानकारी मांग सकता है , जैसा भी मामखा हअ, यठद स्पष्टीकर के प्रयअजन के तखए यह आनुश्यक हअ।

(8) यठद आनुेदक द्नुारा प्रस्तत ु दस्तानुेज स्पष्टीकर क्रम में पाया जाता है , तअ आनुेदन रक्जस्रीकर का प्रमा -पत्र प्रदान करने के तखए आगे की प्रकिंक्रया की जाएगी।

(9) यठद दस्तानुेज क्रम में नहीं पाये जाते हं2 उप-िनुयनयम (2) के िंतगात आनुेदन कअ ब्यूरअ द्नुारा िस्नुीकार किंकया जा सकेगा।

 2"
bis_hallmarking_regulations_2018_incorp_amdt_1_p3,bis_hallmarking_regulations_2018_incorp_amdt_1,BIS-Hallmarking-Regulations-2018-Incorp.-Amdt-1.pdf,3,"(10) आनुेदक आनुश्यक दस्तानुेजों के साथ िपना जनुाब प्रस्तुत कर सकता है और नअठटस प्राप्त हअने की तारीत से खेकर चौदह ठदनों के भीतर स्नुयं या उसके द्नुारा प्रानिकृत किंकसी प्रयतयननि के माध्यम से सन ु नुाई के तखए िनरु अि कर सकता है ।

(11) िस्नुीकृयत के आिार के साथ ब्यूरअ का यन य ा आनुेदक कअ तखितत रूप में सूनचत किंकया जाएगा।

(12) उप-िनुयनयम (9) के ििीन आनुेदन की िस्नुीकृयत के मामखे में आनुेदन फीस नुापस नहीं हअगी।

4. रजजस्ट्रीकरण प्रमाण पत्र प्रिान करना - (1) ब्यूरअ रक्जस्रीकर प्रमा पत्र प्रदान कर सकता है (क) यठद आनुेदन क्रम में पाया जाता है ; और (त) िनुसूची- I में यनठदा ष्ट रक्जस्रीकर फीस के भुगतान पर

(2) रक्जस्रीकर का प्रमा -पत्र इन िनुयनयमों के साथ संखग्न प्ररूप -2 में प्रदान किंकया जाएगा और पांच साख की िनुनि के तखए नुैि हअगा । (3) रक्जस्रीकर के प्रमा -पत्र का ब्यौरा ब्यूरअ की नुेबसाइट पर हअस्ट किंकया जाएगा ।

(4) रक्जस्रीकर का प्रमा -पत्र रक्जस्रीकर प्रमा -पत्र में बताए गए पणरसर के तखए नुैि हअगा। (5) रक्जस्रीकर का प्रमा -पत्र िनुयनयम 5 में यनठदा ष्ट यनयमों और शतों के िनुसार हअगा।

5. रजजस्ट्रीकरण प्रमाण पत्र क यनयम ि ितें - (1) रक्जस्रीकृत आभष ू िनुक्रेता उसके द्नुारा बेची गई हमखमाका यत ु त बहुम् ू य िातु की नुस्तओ ु ं की शद् ु िता और पणरशद् ु िता के तखए उत्तरदायी हअगा। (2) रक्जस्रीकृत आभष ू िनुक्रेता किंकसी िन्‍दय आभूष िनुक्रेता के पहचान नचन्‍दह के साथ मह ु रांकिंकत हमखमाका-यत ु त बहुम् ू य िातु की नुस्तओ ु ं कअ बेच सकता है , बशते किंक तरीद या िन्‍दय रूप में प्रानिकार का प्रमा उसके पास उपखब्ि हअ। (3) रक्जस्रीकृत आभूष िनुक्रेता2 जअ नुस्तु कअ हमखमाका करनुा रहा है 2 ऐसी नुस्तु की शुद्िता और पणरशुद्िता के तखए उत्तरदायी हअगा। (4) रक्जस्रीकृत आभूष िनुक्रेता, जअ बबक्री करता है , यनयमों के िनुसार शुद्िता या पणरशुद्िता में किंकसी भी प्रकार की कमी हअने पर मुआनुजे का भुगतान करने के तखए उत्तरदायी हअगा। (5) रक्जस्रीकृत आभूष िनुक्रेता फमा के पणरसर और प्रबंिन में किंकसी भी बदखानु की सूचना ब्यूरअ कअ दे गा। (6) रक्जस्रीकृत आभूष िनुक्रेता कअ ब्यूरअ द्नुारा मान्‍दयता प्राप्त िसेययंग और हमखमाकिंक)ग केंर से संबद्ि भारतीय मानक के िनुसार बहुमू्य िातु नुस्तुओं पर हमखमाका खगनुाना हअगा।

 3"
bis_hallmarking_regulations_2018_incorp_amdt_1_p4,bis_hallmarking_regulations_2018_incorp_amdt_1,BIS-Hallmarking-Regulations-2018-Incorp.-Amdt-1.pdf,4,"(7) रक्जस्रीकृत आभूष िनुक्रेता प्रत्येक परे ष के तखए तखितत में , हमखमाकिंक)ग के िनुरअि के साथ िसेययंग और हमखमाकिंक)ग केंर में कीमती िातु की नुस्तुएं जमा करनुाएगा और प्रत्येक िनुरअि की एक प्रयत िपने पास रतेगा। (8) िसेययंग और हमखमाकिंक)ग के तखए बहुमू्य िातु की नुस्तओ ु ं कअ जमा करते समय, रक्जस्रीकृत आभष ू िनुक्रेता िपना नाम और पता2 रक्जस्रीकर संख्या का प्रमा पत्र, पहचान नचह्न, नुस्तु का प्रकार, नुस्तओ ु ं की संख्या, प्रत्येक नुस्तु या नुस्तओ ु ं के समह ू की घअिषत शद् ु िता और प्रत्येक िनरु अि में परे ष का परू ा नुजन तखतेगा, क्जसे आभष ू िनुक्रेता के प्रानिकृत प्रयतयननि द्नुारा हस्तािणरत किंकया जाएगा। (9) रक्जस्रीकृत आभष ू िनुक्रेता िपने प्रयतयननियों के नाम और हस्तािर घअिषत करे गा जअ िसेययंग और हमखमाकिंक)ग केंर कअ हमखमाकिंक)ग के तखए िनरु अि प्रस्तत ु करने के तखए प्रानिकृत हअगा। (10) रक्जस्रीकृत आभूष िनुक्रेता िनुसूची – IV में यथािनुयनठदा ष्ट िसेययंग और हमखमाकिंक)ग केंर कअ हमखमाकिंक)ग फीस का भुगतान करे गा। (11) हमखमाका युतत बहुमू्य िातु की नुस्तुओं की बबक्री के बबख या बीजक में प्रत्येक नुस्तु का िनुनुर , बहुमू्य िातु का शुद्ि भार, केरे ट और पणरशुद्िता में शुद्िता और हमखमाकिंक)ग प्रभारों का िखग-िखग िनुनुर ठदया जायेगा। (12) मानक के किंकसी भी संशअिन या पन ु रीि के मामखे में , ब्यूरअ उसके कायाान्‍दनुयन से तीस ठदन पहखे रक्जस्रीकृत आभूष िनुक्रेता कअ नअठटस दे गा। (13) रक्जस्रीकृत आभूष िनुक्रेता हमखमाकिंक)ग के तखए किंकये गए िनुरअि2 िसेययंग एनुं हमखमाकिंक)ग केंर द्नुारा जारी किंकये गये बीजक या बबख2 हमखमाका युतत नुस्तुओं की बबक्री के बीजक या बबख और आभूष िनुक्रेता से ख़रीदी गई हमखमाका युतत नुस्तुओं के बीजक या बबख की प्रयतयों का णरकमडा पांच नुषा की िनुनि या हमखमाका युतत नुस्तुओं के बेचे जाने तक2 जअ भी िनिक हअ2 रतेगा। (14) रक्जस्रीकृत आभूष िनुक्रेता, ब्यूरअ के प्रानिकृत प्रयतयननि के साथ िपने आऊट-खेट के यनरीि , यनगरानी के दौरान या तशकायत की जांच के दौरान के स बद्ि णरकमडा या नमूने खेने के तखए सहयअग करे गा। (15) रक्जस्रीकृत आभूष िनुक्रेता बबक्री केंर में ब्यूरअ द्नुारा हमखमाका-युतत नुस्तुओं की बबक्री के तखए जारी किंकए गए रक्जस्रीकर के मूख प्रमा -पत्र और ब्यूरअ द्नुारा यनिााणरत िन्‍दय प्रदशान िपेिाओं कअ प्रमत ु ता से प्रदतशात करे गा। (16) ब्यरू अ रक्जस्रीकर प्रमा -पत्र की नुैिता के दौरान रक्जस्रीकृत आभष ू िनुक्रेता कअ तीस ठदन का नअठटस दे कर, रक्जस्रीकर के प्रमा पत्र के किंकसी भी यनयम और शता में बदखानु कर सकता है । (17) यनयमों और शतों का उ्खंघन किंकए जाने पर, रक्जस्रीकर प्रमा ’-पत्र रद्द किंकया जा सकता है । 4"
bis_hallmarking_regulations_2018_incorp_amdt_1_p5,bis_hallmarking_regulations_2018_incorp_amdt_1,BIS-Hallmarking-Regulations-2018-Incorp.-Amdt-1.pdf,5,"6. रजजस्ट्रीकरण प्रमाण-पत्र का निीकरण - (1) रक्जस्रीकृत आभूष िनुक्रेता रक्जस्रीकर के प्रमा -पत्र की नुैिता की समाक्प्त के तीस ठदन पूनुा िनुसूची- I में िनुयनठदा ष्ट फीस के साथ, इन िनुयनयमों से जड़ ु े प्ररूप-III में ननुीकर आनुेदन ब्यरू अ कअ दे गा।

(2) नुैिता की समाक्प्त से पहखे ननुीकर आनुेदन प्राप्त हअने पर,(क) रक्जस्रीकर का प्रमा -पत्र पांच साख की िनुनि के तखए ननुीनीकृत किंकया जा सकता है ; या

(त) यठद रक्जस्रीकर का प्रमा -पत्र रद्द किंकए जाने या गैर-ननुीकर के तखए िनुचार ीय है तअ रक्जस्रीकर प्रमा -पत्र के ननुीकर पर यन य ा तीन महीने तक आस्थनगत रता जा सकता है , और आस्थनगत करने के यन य ा की सूचना रक्जस्रीकृत आभूष िनुक्रेता कअ दी जाएगी। साथ ही उसे हमखमाका-युतत कीमती िातु/नुस्तुओं की बबक्री रअकने और कीमती िातु/नुस्तुओं कअ हमखमाका न करनुाने के यनदे श ठदए जायेंगे।

7. रजजस्ट्रीकरण या ैर निीकरण प्रमाण-पत्र कअ रद्ि करना - (1) ब्यरू अ रक्जस्रीकर प्रमा -पत्र कअ रद्द कर सकेगा या ननुीकर नहीं कर सकेगा यठद, (क) आभूष िनुक्रेता द्नुारा घअिषत किंकसी भी घअष ा कअ झूि या गखत पाया जाता है ; (त) रक्जस्रीकृत आभूष िनुक्रेता ने रक्जस्रीकर प्रमा पत्र के किंकसी भी यनयम और शतों का उ्खंघन किंकया है ; (ग) रक्जस्रीकृत आभूष िनुक्रेता ने नुस्तु की दानुा की गई या उस पर िंकिंकत शुद्िता या पणरशुद्िता से कम शुद्िता नुाखी नुस्तु कअ बेचा है या बेचने का प्रस्तानु किंकया है ; (घ) रक्जस्रीकृत आभष ू िनुक्रेता2 यनगरानी दौरे या तशकायत की जााँच के दौरान ब्यरू अ के प्रानिकृत प्रयतयननि द्नुारा कत्ताव्यों का यननुाहन करने में सहयअग दे ने में िनुफख रहा हअ। (ड.) रक्जस्रीकृत आभष ू िनुक्रेता कअ हमखमाका के दरु ु पयअग के किंकसी भी िननु चत व्यनुहार में तखप्त पाया जाए । (2) रक्जस्रीकर के प्रमा -पत्र कअ रद्द करने या उसके गैर-ननुीकर से पहखे, ब्यरू अ रक्जस्रीकृत आभष ू िनुक्रेता कअ रक्जस्रीकर के प्रमा -पत्र कअ रद्द करने या इसके ननुीकर न करने के आशय के कार ों का हनुाखा दे कर नअठटस दे गा।

(3) यठद उप-िनुयनयम (1) के तंड (ड.) में ठदए गए कार ों से रक्जस्रीकर प्रमा -पत्र कअ रद्द करने या गैर-ननुीकर के तखए नअठटस जारी किंकया जाता है , तअ रक्जस्रीकृत आभूष िनुक्रेता कअ हमखमाका नुाखे कीमती िातु की नुस्तुओं की बबक्री रअकने और बहुमू्य िातु की नुस्तुओं पर हमखमाका न खगनुाने के यनदे श ठदए जायेंगे।

(4) उप-िनुयनयम (2) के िंतगात नअठटस प्राप्त हअने पर, रक्जस्रीकृत आभूष िनुक्रेता नअठटस प्राप्त हअने की तारीत से चौदह ठदनों के भीतर ब्यूरअ कअ स्पष्टीकर प्रस्तुत कर सकता है । 5"
bis_hallmarking_regulations_2018_incorp_amdt_1_p6,bis_hallmarking_regulations_2018_incorp_amdt_1,BIS-Hallmarking-Regulations-2018-Incorp.-Amdt-1.pdf,6,"(5) जब स्पष्टीकर प्रस्तुत किंकया जाए तअ ब्यूरअ उस स्पष्टीकर पर िनुचार कर सकता है और रक्जस्रीकृत आभूष िनुक्रेता या उसके िनिकृत प्रयतयननि की व्यक्ततगत सुननुाई कर सकता है , जैसा भी मामखा हअ।

(6) िपराि के शमन के मामखे में , प्रमा -पत्र कअ रद्द करने के तखए प्रकिंक्रया नहीं की जाएगी।

(7) यठद कअई िनुनुर नहीं ठदया गया है , तअ ब्यरू अ नअठटस की िनुनि की समाक्प्त पर रक्जस्रीकर प्रमा -पत्र रद्द कर सकता है ।

(8) जहां रक्जस्रीकर का प्रमा -पत्र रद्द कर ठदया गया है या ननुीनीकृत नहीं किंकया गया है , नुहां आभूष िनुक्रेता हमखमाका युतत कीमती िातु की नुस्तुओं की बबक्री कअ रअक दे गा और िनियनयम की िारा 34 के िंतगात िपीख के खंबबत हअने के बानुजूद किंकसी भी िसेययंग और हमखमाकिंक)ग केंर से बहुमू्य िातु की नुस्तुओं पर हमखमाका खगनुाना बंद कर दे गा।

(9) उप-िनुयनयम (1) के तंड (ड.) में ठदए गए कार ों से रद्दकर या गैर-ननुीकर के मामखों में , ब्यूरअ ऐसे आदे श पाणरत हअने की तारीत से एक नुषा की िनुराम िनुनि से पहखे रक्जस्रीकर प्रमा -पत्र प्रदान करने के तखए आनुेदन स्नुीकार नहीं करे गा।

(10) रद्द किंकये गए या ननुीनीकृत न किंकये गए रक्जस्रीकर के प्रमा -पत्र के िनुनुर ब्यूरअ िपनी नुेबसाइट पर डाखेगा।

(11) िभ्यपा 2 रद्दकर और गैर ननुीकर की क्स्थयत में आभूष िनुक्रेता रक्जस्रीकर दस्तानुेज के मूख प्रमा पत्र कअ ब्यूरअ कअ नुािपस कर दे गा और स्टमक में उपखब्ि बहुमू्य िातु की नुस्तुओं से हमखमाका कअ तमटाना सुयनक्श्चत करे गा। (12) रद्दकर , गैर-ननुीकर या आभूष िनुक्रेता द्नुारा रक्जस्रीकर के प्रमा -पत्र कअ िभ्यपा करने की क्स्थयत में आभूष िनुक्रेता तुरंत सारी प्रचार सामग्री, जैसे किंक पचाा, पुक्स्तका और पत्रशीषा कअ नष्ट कर दे गा, क्जसके माध्यम से आभूष िनुक्रेता हमखमाका-युतत कीमती िातु की नुस्तुओं कअ बेचने के तखए रक्जस्रीकृत आभूष िनुक्रेता हअने का दानुा करता है ।

(13) रक्जस्रीकृत आभूष िनुक्रेता, क्जसे िनियनयम के प्रानुिानों के ििीन दअषी िहराया गया है , ऐसी दअषतसद्नि की तारीत से एक नुषा की िनुराम िनुनि के तखए रक्जस्रीकर के प्रमा -पत्र के तखए आनुेदन करने का पात्र नहीं हअगा।

 6"
bis_hallmarking_regulations_2018_incorp_amdt_1_p7,bis_hallmarking_regulations_2018_incorp_amdt_1,BIS-Hallmarking-Regulations-2018-Incorp.-Amdt-1.pdf,7,"अध्याय II

 असययं और लमामाकिंक) कन्‍दर क( मान्‍दयता प्रिान करना, प्रचाान, निीकरण, यनांबन और रद्िकरण 8. मान्‍दयता क शाए आििन - (1) सुसंगत भारतीय मानक के िनुसार स्थािपत किंकया गया कअई भी िसेययंग केंर, िसेययंग और हमखमाकिंक)ग केंर के रूप में संचातखत करने के तखए मान्‍दयता प्रदान करने हे तु आनुेदन कर सकेगा। (2) ब्यरू अ कअ आनुेदन इन िनुयनयमों से संखग्न प्ररूप –IV में िनुसूची –II में यनठदा ष्ट फीस और यन नतखितत दस्तानुेजों की स्नु-प्रमाि त प्रयततखिप के साथ किंकया जाएगा िथाात ्: (क) फमा या कंपनी की स्थापना का प्रमा ; (त) पणरसर के पते का प्रमा ; (ग) हस्तािरकताा की पहचान का प्रमा ; (घ) यनकटतम खंडमाका से पणरसर का स्थान दशााने नुाखा माननचत्र; (ड.) गु ता पक्ु स्तका; तथा (च) प्ररूप-V में शपथ पत्र और नुचनबद्िता

(3) आनुेदन आनुेदक या इस संबंि में प्रानिकृत किंकसी िन्‍दय व्यक्तत द्नुारा हस्तािणरत हअगा।

(4) यठद आनुेदन के साथ िपेक्षित फीस नहीं दी गई है तअ आनुेदन कअ िस्नुीकार कर ठदया जाएगा।

(5) आनुेदन प्राप्त हअने के पश्चात ् उसकी स्नुीकृयत दी जाएगी और जमचं के बाद सही पाए जाने पर उसे णरकमडा किंकया जाएगा। (6) यठद उप-िनुयनयम (2) के ििीन ठदया गया दस्तानुेज सही नहीं हं, तअ ब्यूरअ आनुश्यक दस्तानुेज या कअई पूरक जानकारी मांग सकता है , जैसा भी मामखा हअ, यठद स्पष्टीकर के प्रयअजन के तखए यह िपेक्षित हअ।

(7) परीि किंकए जाने पर , ब्यूरअ किंकसी आनुेदन कअ िस्नुीकार कर सकता है , यठद, (क) आनुेदन ििरू ा या संबद्ि दस्तानुेजों के बबना पाया जाता है ; (त) आनुेदन की प्रकिंक्रया के दौरान किंकसी भी समय पाया जाता है किंक िसेययंग और हमखमाकिंक)ग केंर हमखमाका का दरु ु पयअग करने के तखए किंकसी प्रकार के भ्रष्टाचार में शातमख है , क्जसके तखए िनियनयम के ििीन मुकदमा चखाया जा सकता है ; (ग) बहुम् ू य िातु की नुस्तुओं की िसेययंग और हमखमाकिंक)ग करने के तखए संबंनित भारतीय मानक के िनस ु ार केंर में आनुश्यक बयु नयादी ांांचा और िमता नहीं है ;

 7"
bis_hallmarking_regulations_2018_incorp_amdt_1_p8,bis_hallmarking_regulations_2018_incorp_amdt_1,BIS-Hallmarking-Regulations-2018-Incorp.-Amdt-1.pdf,8,"(घ) मान्‍दयता रद्द हअने या गैर-ननुीकर हअने पर िनुयनयम 13 के उप-िनुयनयम (9) में बताए गए िनुसार िनुराम िनुनि की समाक्प्त से पहखे आनुेदन जमा किंकया गया है िथनुा उप-िनुयनयम (11) में यनठदा ष्ट िनियनयम के प्रानुिानों के िन्‍दतगात दअष तसद्ि हअ । (8) उप-िनुयनयम (7) के िन्‍दतगात किंकसी भी आनुेदन कअ िस्नुीकार करने से पहखे, ब्यरू अ आनुेदक कअ उसमें कतमयां उदित ृ करते हुए नअठटस दे गा। (9) आनुेदक आनुश्यक दस्तानुेजों के साथ िपना जनुाब प्रस्तत ु कर सकता है और नअठटस प्राप्त हअने की तारीत से खेकर चौदह ठदनों के भीतर स्नुयं या उसके द्नुारा प्रानिकृत किंकसी प्रयतयननि के माध्यम से सन ु नुाई के तखए िनरु अि कर सकता है ।

(10) िस्नुीकृयत के आिार के साथ, ब्यूरअ का यन य ा आनुेदक कअ तखितत रूप में सूनचत किंकया जाएगा। (11) एक आनुेदक या िनियनयम के प्रानुिानों के िन्‍दतगात तसद्िदअष पाया गया व्यक्तत इस तरह की सजा की तारीत से एक नुषा की िनुराम िनुनि में आनुेदन का पात्र नहीं हअगा। (12) उप-िनुयनयम (7) के िन्‍दतगात आनुेदन की िस्नुीकृयत के मामखे में आनुेदन फीस नुापस नहीं हअगी।

9 . मान्‍दयता की मंजूरी - (1) ब्यूरअ मान्‍दयता प्रदान करे गा(क) यह संतक्ु ष्ट हअ जाने पर किंक केंर में बहुम् ू य िातु के सामानों की िसेययंग और हमखमाकिंक)ग करने के तखए सुसंगत मानक के िनुसार आनुश्यक बुयनयादी ांांचा और िमता है ; और (त) िनुसूची- II में िनुयनठदा ष्ट मान्‍दयता फीस और मू्यांकन फीस के भुगतान हअने पर (2) मान्‍दयता का प्रमा -पत्र इन िनुयनयमों के साथ संखग्न प्ररूप -VI में जारी किंकया जाएगा, क्जसमें मान्‍दयता का कायािेत्र भी ठदया जायेगा । (3) िसेययंग और हमखमाकिंक)ग केंर मान्‍दयता के दायरे में पणरनुतान के तखए िनरु अि कर सकते हं। (4) उप-िनुयनयम (3) के िंतगात, ब्यूरअ िनुरअि की जांच कर सकता है , मू्यांकन कर सकता है , जअ किंक कायािेत्र में पणरनुतान पर िनुचार करने के तखए आनुश्यक है । (5) इस िनुयनयम के िंतगात दी गई मान्‍दयता तीन साख की िनुनि के तखए मान्‍दय हअगी। (6) ब्यरू अ द्नुारा प्रमाि त िसेययंग और हमखमाकिंक)ग के ब्यौरे कअ नुेबसाइट पर डाखा जायेगा। (7) िसेययंग और हमखमाकिंक)ग केंर की मान्‍दयता िनुयनयम 10 में बताये गए यनयमों और शतों के िनुसार हअगी।

 8"
bis_hallmarking_regulations_2018_incorp_amdt_1_p9,bis_hallmarking_regulations_2018_incorp_amdt_1,BIS-Hallmarking-Regulations-2018-Incorp.-Amdt-1.pdf,9,"10. मान्‍दयता प्राप्त असययं और लमामाकिंक) केंर का यनबंधन और ितें – (1) िसेययंग और हमखमाकिंक)ग केंर िपने द्नुारा हमखमाका की गई बहुमू्य िातु की नुस्तुओं की शुद्िता और पणरशुद्िता के यनिाार के तखए उत्तरदायी हअगा। (2) केंर के प्रबंिन, पणरसर या नाम और पते में कअई पणरनुतान हअने पर, िसेययंग और हमखमाकिंक)ग केंर, ब्यरू अ कअ सनू चत करे गा। (3) िसेययंग और हमखमाकिंक)ग केंर, मशीनरी, उपकर , िसेययंग कातमाक प्रमाि त संदभा सामग्री की िनप ु खब्िता िथनुा किंकसी बड़े उपकर ों के टूटने की सच ू ना भी ब्यरू अ कअ दे गा, जअ नमन ू ा खेने की, िसेययंग और हमखमाकिंक)ग गयतिनुनियों कअ प्रभािनुत कर सकती है । (4) िनुयनयम 5 के उप-िनुयनयम (7) में बताये गए िनस ु ार िसेययंग और हमखमाकिंक)ग केंर संबंद्ि मानक के िनस ु ार केनुख प्रमाि त आभष ू िनुक्रेता से ही हमखमाकिंक)ग के तखए आभष ू स्नुीकार करे गा एनुं आभूष िनुक्रेता हमखमाकिंक)ग के तखए तखितत रूप में ब्यौरे सठहत िनुरअि करे गा। (5) मानक के किंकसी भी संशअिन या पुनरीि के मामखे में , ब्यूरअ इसके कायाान्‍दनुयन से पहखे िसेययंग और हमखमाकिंक)ग केंर कअ एक महीने का नअठटस दे गा। (6) परीि और मुहरांकन िंशशअिन उपस्करों और प्रमाि त संदभा सामग्री का उपयअग करके सुसंगत भारतीय मानक के िनुसार किंकया जाएगा। (7) हमखमाका का डडजाइन और इसके साथ नचक्ह्नत हअने नुाखे ब्यौरे िनुसच ू ी -III में यथािनुयनठदा ष्ट होंगे। (8) िसेययंग और हमखमाकिंक)ग केंर ब्यूरअ द्नुारा बताए गए िनस ु ार णरकमडा रतेगा क्जसमें आभष ू िनुक्रेता से प्राप्त हमखमाकिंक)ग हे तु िनरु अि का णरकमडा भी शातमख है । 9) िसेययंग और हमखमाकिंक)ग केंर आभूष िनुक्रेताओं से िनुसूची- IV में यनठदा ष्ट हमखमाकिंक)ग फीस खेगा और प्रत्येक माख के तखए आभूष िनुक्रेता से प्राप्त हमखमाकिंक)ग के िनुरअि के िनुसार उन्‍दहें बबख िथनुा बीजक जारी करे गा। (10) िसेययंग और हमखमाकिंक)ग केंर िनुसूची – IV में बताए गए िनुसार ब्यूरअ कअ हमखमाकिंक)ग फीस दे गा। (11) िसेययंग और हमखमाकिंक)ग केंर मातसक और नुािषाक आिार पर हमखमाका की गई बहुमू्य िातु की नुस्तओ ु ं के साथ-साथ िस्नुीकृत की गई नुस्तुओं का भी ब्यौरा, संख्या और नुजन में दे गा। (12) िसेययंग और हमखमाकिंक)ग केंर ब्यूरअ के प्रानिकृत प्रयतयननियों के साथ मू्यांकन करने के तखए, केन्‍दर के पास उपखब्ि बहुमू्य िातु नुस्तओ ु ं के यनरीि एनुं परीि के तखए सुसंगत णरकमडों के उत्पादन में सहयअग करे गा। (13) ब्यूरअ मान्‍दयता की नुैिता की िनुनि के दौरान िसेययंग और हमखमाकिंक)ग केंर कअ तीस ठदनों का नअठटस दे कर पहचान के नुैि यनंबंिनों और यनयमों कअ संशअनित कर सकता है । (14) यनबंिन और शतों का उ्खंघन किंकए जाने पर, मान्‍दयता रद्द हअ सकती है ।

 9"
