document_id,source_file,pages,nonempty_page_records,status
amendment_iv,AMENDMENT IV.pdf,1,1,ok
bis_hallmarking_regulations_2018_incorp_amdt_1,BIS-Hallmarking-Regulations-2018-Incorp.-Amdt-1.pdf,92,92,ok
coc_surveillance_guidelines_bis_website,CoC-Surveillance-Guidelines-BIS-Website.pdf,17,17,ok
gazette_notification_dt_02_march_2026_mandatory_hallmarking_amendment_order_1_1,Gazette-Notification-dt-02-March-2026-Mandatory-Hallmarking-amendment-order-1-1.pdf,17,17,ok
gol_guidelines_websitehosting,GoL-Guidelines-WebsiteHosting.pdf,55,55,ok
grant_of_licence_guidelines,Grant-of-licence-guidelines.pdf,58,58,ok
guidelines_sus_ros,Guidelines-SUS-RoS.pdf,19,19,ok
guidelines_for_enforcement_activity,Guidelines-for-Enforcement-Activity.pdf,58,58,ok
guidelines_for_refinery_or_mint_08102018,Guidelines_for_Refinery_or_Mint_08102018.pdf,9,9,ok
hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1,Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,20,20,ok
lrs_23062020,LRS_23062020.pdf,33,33,ok
list_of_additional_07_districts_covered_under_the_mandatory_hallmarking_in_the_sixth_phase,List-of-additional-07-districts-covered-under-the-mandatory-hallmarking-in-the-sixth-phase.pdf,1,1,ok
otr_guidelines_grant_of_certification_safetyofmachinery,OTR-Guidelines-Grant-of-Certification-SafetyOfMachinery.pdf,14,14,ok
refineries_latest_list,Refineries-latest-list.pdf,4,4,ok
revised_guidelines_ahc_october_2024,Revised-Guidelines-AHC-October-2024.pdf,38,38,ok
scheme_1_concession_extension_31may2029,Scheme-1-Concession-Extension-31May2029.pdf,3,3,ok
