chunk_id,document_id,source_file,page_number,text
hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1_p1,hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1,Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,1,"रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99

 सी.जी.-डी.एल.-अ.-29042026-272152 xxxGIDHxxx CG-DL-E-29042026-272152 xxxGIDExxx

 असाधारण EXTRAORDINARY भाग II—खण्ड 3—उप-खण्ड (ii) PART II—Section 3—Sub-section (ii) प्राजधकार से प्रकाजित PUBLISHED BY AUTHORITY

 सं. 2044] िई ददल्ली, मंगलर्ार, अप्रैल 28, 2026/र्ैिाख 8, 1948 No. 2044] NEW DELHI, TUESDAY, APRIL 28, 2026/VAISAKHA 8, 1948

 उपभोक्ता मामले, खाद्य और सार्विजिक जर्तरण मंत्रालय (उपभोक्ता मामले जर्भाग) आदेि िई ददल्ली 28 अप्रैल, 2026

 का.आ. 2117(अ).— के न्द्रीय सरकार, भारतीय मािक ब्यूरो अजधजियम, 2016 (2016 का 11) की धारा 15 की उपधारा (2) और उपधारा (3), धारा 16 की उपधारा (1) और उपधारा (2), धारा 17 और धारा 25 की उपधारा (3) के साथ पठित धारा 14 की उपधारा (3) द्वारा प्रदत्त िजक्तयों का प्रयोग करते हुए, भारतीय मािक ब्यूरो के परामिव से यह राय है दक लोकजहत में ऐसा करिा आर्श्यक या समीचीि है, स्ट्र्णव आभूषण और स्ट्र्णव जिल्पकृ ती आदेि, 2020 का और संिोधि करिे के जलए जिम्नजलजखत आदेि करती है, अथावत्ः1. संजिप्त िाम और प्रारं भ— (1) इस आदेि का संजिप्त िाम स्ट्र्णव आभूषण और स्ट्र्णव जिल्पकृ ती की हॉलमार्किं ग (जद्वतीय संिोधि) आदेि, 2026 है।

 (2) यह रािपत्र में इसके प्रकािि की तारीख को प्रर्ृत्त होगा।

2. स्ट्र्णव आभूषण और स्ट्र्णव जिल्पकृ ती आदेि, 2020 में, उपाबंध के स्ट्थाि पर, जिम्नजलजखत उपाबंध रखा िाएगा, अथावत्ः —

3000 GI/2026 (1)"
hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1_p2,hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1,Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,2,"2 THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(ii)]

 “उपाबंध क्र. सं. राज्य/संघ राज्य िेत्र जिला (1) (2) (3) 1. आंध्र प्रदेि 1. अिंतपुर 2. अन्नामय्या 3. डॉ. बी. आर. अम्बेडकर कोिासीमा 4. पूर्ी गोदार्री 5. एलुरु 6. गुंटूर 7. कडपा 8. कृ ष्णा 9. कु िूवल 10. श्री िंदामुरी तारक रामा रार् गारू 11. िांदयाल 12. िेल्लोर 13. प्रकािम 14. श्रीकाकु लम 15. जर्िाखापत्तिम 16. जर्ियिगरम 17. पजिम गोदार्री 18. पलिाडु 2. असम 1. बारपेटा 2. बोंगईगांर् 3. कछार 4. िोरहाट 5. कामरूप मेरो 6. कोकराझार 7. लखीमपुर 8. िगांर् 9. जतिसुदकया 10. जिर् सागर 11. धुबरी 12. सोजितपुर 3. जबहार 1. बेगूसराय 2. भागलपुर 3. भोिपुर 4. बक्सर 5. दरभंगा 6. पूर्ी चंपारण 7. गया"
hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1_p3,hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1,Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,3,"[भाग II—खण्ड 3(ii)] भारत का रािपत्र : असाधारण 3

 8. कठटहार 9. खगज़िया 10. दकििगंि 11. मधुबिी 12. मुंगेर 13. मुिफ्फरपुर 14. िालंदा 15. िर्ादा 16. पटिा 17. रोहतास 18. समस्ट्तीपुर 19. सारण 20. सीतामढी 21. सहरसा 22. जसर्ाि 23. मधेपुरा 24. पूर्णवया 25. र्ैिाली 4. चंडीगढ 1. चंडीगढ 5. छत्तीसगढ 1. जबलासपुर 2. दुगव 3. रायपुर 4. राििंदगांर् 5. सरगुिा 6. ददल्ली 1. के न्द्रीय ददल्ली 2. पूर्ी ददल्ली 3. िई ददल्ली 4. उत्तरी ददल्ली 5. उत्तर पजिम ददल्ली 6. दजिणी ददल्ली 7. दजिण पूर्ी ददल्ली 8. पजिमी ददल्ली 7. गोर्ा 1. उत्तरी गोर्ा 2. दजिणी गोर्ा 8. गुिरात 1. अहमदाबाद 2. अमरेली 3. आणंद 4. बिासकांिा 5. भरूच 6. भार्िगर 7. बोटाड"
hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1_p4,hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1,Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,4,"4 THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(ii)]

 8. देर्भूजम द्वारका 9. जगर सोमिाथ 10. िामिगर 11. िूिागढ 12. खे़िा 13. कच्छ 14. मेहसाणा 15. मोरबी 16. िर्सारी 17. पाटि 18. पोरबंदर 19. रािकोट 20. साबरकांिा 21. सूरत 22. सुरेंरिगर 23. तापी 24. र्डोदरा 25. र्लसाड 9. हठरयाणा 1. अंबाला 2. जभर्ािी 3. चरखी दादरी 4. फरीदाबाद 5. फतेहाबाद 6. गुरूग्राम 7. जहसार 8. िींद 9. कै थल 10. करिाल 11. कु रुिेत्र 12. महेंरगढ 13. पलर्ल 14. रे र्ा़िी 15. रोहतक 16. जसरसा 17. सोिीपत 18. यमुिािगर 19. झज्जर 20. पंचकू ला 10. जहमाचल प्रदेि 1. जबलासपुर 2. हमीरपुर 3. कांग़िा"
hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1_p5,hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1,Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,5,"[भाग II—खण्ड 3(ii)] भारत का रािपत्र : असाधारण 5

 4. मंडी 11. िम्मू और कश्मीर 1. िम्मू 2. किु आ 3. सांबा 4. श्रीिगर 5. उधमपुर 12. झारखंड 1. बोकारो 2. धिबाद 3. पूर्ी ससंहभूम 4. गढर्ा 5. रांची 6. देर्घर 7. रामगढ 13. किावटक 1. बागलकोट 2. बेलगार्ी 3. बेंगलुरु िहरी 4. दजिणा कन्नड 5. दार्िगेरे 6. धारर्ा़ि 7. गदग 8. गुलबगाव 9. हसि 10. कोलार 11. मांडया 12. मैसूर 13. रायचुर 14. जिमोगा 15. तुमकु र 16. उडु पी 17. उत्तर कन्ऩि 18. जर्ियपुरा (बीिापुर) 19. जचक्कमगलुरु 20. बेल्लारी 14. के रल 1. अलाप्पुझा 2. एिावकुलम 3. कन्नूर 4. कासरगोड 5. कोल्लम 6. कोट्टायम 7. कोझीकोड 8. मलाप्पुरम"
hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1_p6,hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1,Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,6,"6 THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(ii)]

 9. पलक्क़ि 10. पथािामजथट्टा 11. जतरुर्िंतपुरम 12. जत्रिूर 13. र्ायिाड 14. इडु क्की 15. मध्य प्रदेि 1. बालाघाट 2. भोपाल 3. छतरपुर 4. सछंदर्ा़िा 5. देर्ास 6. ग्र्ाजलयर 7. इं दौर 8. िबलपुर 9. कटिी 10. खंडर्ा 11. मुरैिा 12. िीमच 13. रतलाम 14. रीर्ा 15. सतिा 16. उज्जैि 17. सागर 16. महाराष्ट्र 1. अहमदिगर 2. अकोला 3. अमरार्ती 4. औरंगाबाद 5. बी़ि 6. चंरपुर 7. धुले 8. िलगांर् 9. िालिा 10. कोल्हापुर 11. लातूर 12. मुंबई िहर 13. मुंबई उपिगरीय 14. िागपुर 15. िांदे़ि 16. िंदरु बार 17. िाजसक 18. पालघर"
hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1_p7,hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1,Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,7,"[भाग II—खण्ड 3(ii)] भारत का रािपत्र : असाधारण 7

 19. परभिी 20. पुणे 21. रायगढ 22. रत्नाजगरी 23. सांगली 24. सतारा 25. ससंधुदग ु व 26. सोलापुर 27. िाणे 28. र्धाव 29. यर्तमाल 17. ओजडिा 1. बालासोर 2. भरक 3. कटक 4. गंिाम 5. िािपुर 6. खोरधा 7. मयूरभंि 8. पुरी 9. संबलपुर 10. ियागढ 11. सुंदरगढ 18. पुदच ु ेरी 1. पुडुचेरी 2. कराईकल 19. पंिाब 1. अमृतसर 2. बरिाला 3. भठिं डा 4. फतेहगढ साजहब 5. फाजिल्का 6. द़िरोज़पुर 7. गुरदासपुर 8. होजियारपुर 9. िालंधर 10. कपूरथला 11. लुजधयािा 12. मलेरकोटला 13. मिसा 14. मोगा 15. पिािकोट 16. पठटयाला 17. रूपिगर"
hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1_p8,hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1,Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,8,"8 THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(ii)]

 18. संगरूर 19. िहीद भगत ससंह िगर 20. श्री मुक्तसर साजहब 20. रािस्ट्थाि 1. अिमेर 2. अलर्र 3. बांसर्ा़िा 4. ब्यार्र 5. भीलर्ा़िा 6. बीकािेर 7. चूरू 8. हिुमािगढ 9. ियपुर 10. झुंझुिू 11. िोधपुर 12. कोटा 13. कोटपूतली-बहरो़ि 14. िागौर 15. पाली 16. सर्ाई माधोपुर 17. सीकर 18. जसरोही 19. श्रीगंगािगर 20. उदयपुर 21. िालौर 22. भरतपुर 23. डू ंगरपुर 24. बा़िमेर 25. बूंदी 26. करौली 21. तजमलिाडु 1. चेन्नई 2. कोयंबटू र 3. कु ड्डालोर 4. धमवपुरी 5. सडंडीगुल 6. इरोड 7. कल्लाकु रुजच 8. कांचीपुरम 9. कन्द्याकु मारी 10. करूर 11. कृ ष्णाजगठर 12. मदुरै"
hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1_p9,hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1,Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,9,"[भाग II—खण्ड 3(ii)] भारत का रािपत्र : असाधारण 9

 13. िागापठट्टिम 14. िमाक्काल 15. पुदक्क ु ोट्टई 16. रामिाथपुरम 17. सलेम 18. जिर्गंगा 19. तेिकासी 20. तंिार्ुर 21. थेिी 22. थूथुकुडी 23. जतरुजचरापल्ली 24. जतरुिेलर्ेली 25. जतरुपथुर 26. जतरुपुर 27. जतरुर्न्नामलाई 28. जतरुर्रुर 29. र्ेल्लोर 30. जर्लुप्पुरम 31. मजयलादुथुराई 32. चेंगलपट्टू 22. तेलग ं ािा 1. हैदराबाद 2. खम्मम 3. मंचेठरयल 4. मेडचल-मल्कािजगठर 5. िलगोंडा 6. जिज़ामाबाद 7. पेद्दापल्ली 8. रं गारेड्डी 9. र्ारं गल ग्रामीण 10. र्ारं गल िहरी 11. करीमिगर 12. महबूबिगर 13. भरारी कोिागुडेम 23. जत्रपुरा 1. उत्तरी जत्रपुरा 2. गोमती 3. पजिमी जत्रपुरा 24. उत्तर प्रदेि 1. आगरा 2. प्रयागराि 3. अंबेडकरिगर 4. औरै या 5. आिमगढ"
hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1_p10,hallmarking_of_gold_jewellery_and_gold_artefacts_order_2026_second_amendments_385_districts_1,Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,10,"10 THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(ii)]

 6. बजलया 7. बांदा 8. बाराबंकी 9. बरे ली 10. भदोही 11. बदायूं 12. देर्ठरया 13. इटार्ा 14. फै िाबाद 15. गौतमबुद्ध िगर 16. गाजियाबाद 17. गोरखपुर 18. िौिपुर जिला 19. झााँसी 20. कािपुर िगर 21. लखिऊ 22. मथुरा 23. मेरि 24. जमिावपुर 25. मुरादाबाद 26. मुज़फ्फरिगर 27. प्रतापगढ 28. रायबरे ली 29. सहारिुपर 30. िाहिहााँपुर 31. र्ाराणसी 32. बस्ट्ती 33. लखीमपुर खीरी 34. रामपुर 35. गािीपुर 36. फरुव खाबाद 37. मैिपुरी 38. मऊ 39. जबििौर 25. उत्तराखंड 1. देहरादूि 2. हठरद्वार 3. िैिीताल 4. पौ़िी गढर्ाल 5. जपथोरागढ 6. अल्मो़िा"
