scheme,serial_number,category,indian_standard,product_or_material,notification_or_qco,marking_or_conformity_route,source_title,source_url,accessed_on
Scheme II (Registration Scheme),1.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Electronic Games (Video)","Electronics & Information Technology Goods (Requirements for Compulsory Registration) Order, 2012 Dated 03 rd October 2012 Notification No. S.O. 2357(E) dated 07 September 2012.pdf) Subsequent Amendments Notification No. S.O. 822(E) dated 20 March 2013.pdf) S.O. 2033(E) dated 02 July 2013.pdf) S.O. 2034(E) dated 25 June 2013.pdf) 1. Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021 Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O.1246 (E) Dated 10 March, 2026 |",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),2.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Laptop/Notebook/Tablets",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),3.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Plasma/ LCD/LED Televisions of screen size 32″ & above",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),4.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Optical Disc Players with built in amplifiers of input power 200W and above",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),5.,Unclassified / source table heading,IS 302-2-25,Safety of household and similar electrical appliances: Part 2 Particular requirements: Section 25 Microwave ovens | Product category: Microwave Ovens,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),6.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Visual Display Units, Video Monitors of screen size 32″ & above",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),7.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Printers, Plotters",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),8.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Scanners",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),9.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Wireless Keyboards",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),10.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Telephone Answering Machines",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
