scheme,serial_number,indian_standard,title_of_standard,product_or_material,specific_requirement,notification_or_qco,marking_or_conformity_route,source_title,source_url,accessed_on
Scheme X (Certification),1.1 (a),IS/IEC 60947: Part 2:2016,Low – Voltage Switchgear and Controlgear: Part 2 circuit – Breakers (First Revision),"AC Circuit – Breakers (Category A)- All ratings upto 630 A, upto 440V AC",All test as per IS/IEC 60947 : Part 2 : 2016 except the test listed below in Sr. No. 1.1.(b) of this table.,"Electrical Equipment (Quality Control) Order, 2020",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),1.1(b),IS/IEC 60947: Part 2:2016,Low – Voltage Switchgear and Controlgear: Part 2 circuit – Breakers (First Revision),"AC Circuit – Breakers (Category – A)- All ratings above 630A , upto 440V AC",Electromagnetic compatibility(EMC) mentioned in Annex J and All test specified for specific application as mentioned in the Annexure(s) of the IS/IEC 60947 : Part 2:2016,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),1.2.(a),IS/IEC 60947: Part 2:2016,Low – Voltage Switchgear and Controlgear: Part 2 circuit – Breakers (First Revision),"AC Circuit – Breakers (Category – A)- All ratings above 630A , upto 440V AC",All test as per IS/IEC 60947 : Part 2 : 2016 except the test listed below in Sr. No. 1.2. (b) of this table,"Electrical Equipment (Quality Control) Second Amendment Order, 2024",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),1.2.(b),IS/IEC 60947: Part 2:2016,Low – Voltage Switchgear and Controlgear: Part 2 circuit – Breakers (First Revision),"AC Circuit – Breakers (Category – A)- All ratings above 630A , upto 440V AC",Electromagnetic compatibility (EMC) mentioned in Annex J and All test specified for specific application as mentioned in the Annexure(s) of the IS/IEC 60947 : Part 2 : 2016,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),1.3.(a),IS/IEC 60947: Part 2:2016,Low – Voltage Switchgear and Controlgear: Part 2 circuit – Breakers (First Revision),"AC Circuit Breakers (Category -B)- All ratings upto 2000 A, upto 440V AC",All test as per IS/IEC 60947 : Part 2 : 2016 except the test listed below in Sr. No. 1.3.(b) of this table,"Electrical Equipment (Quality Control) Second Amendment Order, 2024",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),1.3.(b),IS/IEC 60947: Part 2:2016,Low – Voltage Switchgear and Controlgear: Part 2 circuit – Breakers (First Revision),"AC Circuit – Breakers (Category B)- All rating upto 2000 A, upto 440V AC",Electromagnetic compatibility (EMC) mentioned in Annex J and All test specified for specific application as mentioned in the Annexure(s) of the IS/IEC 60947 : Part 2 : 2016,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),1.4,IS/IEC 60947: Part 2:2016,Low – Voltage Switchgear and Controlgear: Part 2 circuit – Breakers (First Revision),AC Circuit – Breakers (Category A) – All rating above 440V AC,All test as per IS/IEC 60947 : Part 2 : 2016,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),1.5,IS/IEC 60947: Part 2:2016,Low – Voltage Switchgear and Controlgear: Part 2 circuit – Breakers (First Revision),"AC Circuit – Breakers (Category B)- rating above 2000 A, upto 440V AC",All test as per IS/IEC 60947 : Part 2 : 2016.,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),1.6,IS/IEC 60947: Part 2:2016,Low – Voltage Switchgear and Controlgear: Part 2 circuit – Breakers (First Revision),AC Circuit – Breakers (Category B)- All rating above 440V AC,All test as per IS/IEC 60947 : Part 2 : 2016.,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),1.7,IS/IEC 60947: Part 2:2016,Low – Voltage Switchgear and Controlgear: Part 2 circuit – Breakers (First Revision),DC Circuit – Breaker (Category A) – All rating,All test as per IS/IEC 60947 : Part 2 : 2016.,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),1.8,IS/IEC 60947: Part 2:2016,Low – Voltage Switchgear and Controlgear: Part 2 circuit – Breakers (First Revision),AC Circuit – Breaker (Category B)- All rating,All test as per IS/IEC 60947 : Part 2 : 2016.,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),2.1 (a),IS/IEC 60947: Part 3:2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse – Combination units","All AC utilization categories Upto 250A, Upto 440V AC",All test as per IS/IEC 60947 : Part 3 : 2020. except the test listed below in Sr. No. 2.1.(b) of this table.,"Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Switches, Disconnectors, Switch-Disconnectors, and Fuse-Combination Units",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),2.1 (b),IS/IEC 60947: Part 3:2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse – Combination units","All AC utilization categories Upto 250A, Upto 440V AC",Electromagnetic compatibility (EMC) mentioned in clause 9.4 and all test specified for specific application as mentioned in the Annexure(s) of IS/IEC 60947 : Part 3 : 2020,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
